id_code,area,site,y,x,logger,altitude,chm,pgaps2m,pgaps5m,pzabove2,zmean,zq95,zskew,canopy_cover2m_5m,canopy_cover2m_10m,canopy_cover2m_20m,canopy_cover2m_30m,canopy_cover2m_50m,canopy_cover5m_5m,canopy_cover5m_10m,canopy_cover5m_20m,canopy_cover5m_30m,canopy_cover5m_50m,canopy_cover10m_5m,canopy_cover10m_10m,canopy_cover10m_20m,canopy_cover10m_30m,canopy_cover10m_50m,chm_metsakeskus_5,chm_metsakeskus_10,chm_metsakeskus_20,chm_metsakeskus_30,chm_metsakeskus_50,pgaps2m_metsakeskus_10,pgaps2m_metsakeskus_20,pgaps5m_metsakeskus_10,pgaps5m_metsakeskus_20,pisr_m1_2m,pisr_m1_10m,pisr_m1_30m,pisr_m1_50m,pisr_m2_2m,pisr_m2_10m,pisr_m2_30m,pisr_m2_50m,pisr_m3_2m,pisr_m3_10m,pisr_m3_30m,pisr_m3_50m,pisr_m4_2m,pisr_m4_10m,pisr_m4_30m,pisr_m4_50m,pisr_m5_2m,pisr_m5_10m,pisr_m5_30m,pisr_m5_50m,pisr_m6_2m,pisr_m6_10m,pisr_m6_30m,pisr_m6_50m,pisr_m7_2m,pisr_m7_10m,pisr_m7_30m,pisr_m7_50m,pisr_m8_2m,pisr_m8_10m,pisr_m8_30m,pisr_m8_50m,pisr_m9_2m,pisr_m9_10m,pisr_m9_30m,pisr_m9_50m,pisr_m10_2m,pisr_m10_10m,pisr_m10_30m,pisr_m10_50m,pisr_m11_2m,pisr_m11_10m,pisr_m11_30m,pisr_m11_50m,pisr_m12_2m,pisr_m12_10m,pisr_m12_30m,pisr_m12_50m,pisr_annual_2m,pisr_summer_2m,pisr_annual_10m,pisr_summer_10m,pisr_annual_30m,pisr_summer_30m,pisr_annual_50m,pisr_summer_50m,slope,swi,twi,tpi10,tpi20,tpi30,tpi50,tpi100,tpi200,tpi500,wind_effect,canopy_cover_conif,canopy_cover_decid,canopy_cover,canopy_portion_conif,canopy_portion_decid,forest_age,forest_class,forest_height,forest_volume,habitat_type,wetland,allwet_prop_100m,allwet_prop_10m,allwet_prop_25m,allwet_prop_500m,costdist2river,costdist2water,costdist2wet,dist2anywater,dist2edge_large,dist2edge_medium,dist2edge_small,dist2forest_large,dist2forest_medium,dist2forest_small,dist2lakes,dist2lakes_large,dist2rivers,dist2waters,dist2wetlands,fluvial_effect,forest_prop_100m,forest_prop_10m,forest_prop_25m,forest_prop_500m,water_effect,water_prop_100m,water_prop_10m,water_prop_25m,water_prop_500m,wet_effect,wetland_prop_100m,wetland_prop_10m,wetland_prop_25m,wetland_prop_500m,tcd,waw,dlt,corine
AIL155,AIL,155,68.99385609,21.0077268,Tomst,88172,9,100,100,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,100,100,100,100,0,0,0,0,1343,1314,1268,1198,7693,7480,7202,6788,16396,16119,15794,15255,24112,23983,23818,23437,27839,27870,27875,27679,26061,26011,25956,25682,19594,19405,19169,18701,11292,11061,10749,10264,3470,3364,3225,3017,188,189,189,189,0,0,0,0,137989,73494,136795,73286,135247,73001,132210,72062,0.424,5.68,9.06,0.06,0.33,0.48,0.02,0.3,2.01,9.32,1.07,1,2.40256844237376,3.40256844237376,30.8529683073399,69.1470316926601,0,3,0,0,10,0,0,0,0,0,1439,1439,1439,660,0,0,0,1727,1665,1616,1296,1992,660,1296,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
AIL156,AIL,156,68.99350668,21.01824095,Tomst,90388,8,100,100,0,0,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,4,100,100,100,100,0,0,0,0,1018,1007,1011,1006,5730,5667,5690,5658,13819,13725,13756,13708,22336,22250,22271,22225,26996,26929,26939,26900,24821,24745,24760,24717,17403,17310,17337,17286,9005,8924,8951,8908,2493,2461,2472,2456,186,185,185,185,0,0,0,0,123808,69220,123203,68983,123373,69037,123050,68903,0.023,11.47,7.83,0.07,0.11,0.08,0.14,0.58,2.57,16.04,1.1,0.0905185827193026,2,2.0905185827193,2.98711322973699,97.012886770263,0,3,0,0,10,0,0,0,0,0,1472,1472,1341,753,0,0,0,1840,1757,1666,1123,1989,753,1123,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
AIL157,AIL,157,68.99247226,21.03371949,Tomst,89927,9,100,100,0,2,9,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,100,100,100,100,0,0,0,0,984,968,981,990,5525,5436,5509,5561,13516,13380,13489,13564,22061,21931,22030,22093,26775,26667,26746,26792,24577,24461,24547,24600,17109,16978,17079,17148,8747,8638,8725,8787,2392,2349,2383,2408,185,184,184,185,0,0,0,0,121870,68460,120994,68107,121673,68373,122127,68540,0.028,15.62,14.16,0.02,-0.03,-0.15,-0.84,-1.71,-2.19,6.25,1.04,1,2,3,33,67,0,3,0,0,10,0,0,0,0,2,1056,1056,995,430,0,0,0,1974,1897,1836,1051,2193,430,1051,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26
AIL158,AIL,158,68.99329312,21.04973161,Tomst,89362,10,100,100,0,1,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,4,4,100,100,100,100,0,0,0,0,1000,981,976,951,5635,5519,5521,5395,13693,13521,13512,13319,22215,22061,22047,21863,26893,26772,26755,26601,24708,24570,24555,24388,17274,17102,17091,16899,8893,8741,8736,8574,2430,2373,2379,2320,182,182,182,182,0,0,0,0,122923,68875,121823,68444,121754,68401,120494,67889,0.009,16.98,15.3,-0.02,-0.14,-0.37,-0.06,-0.21,-0.93,0.22,0.98,1,3,4,25,75,0,3,0,0,10,0,0,0,0,0,1209,1209,1209,660,0,0,0,2363,2279,2195,894,2372,660,894,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
AIL159,AIL,159,68.99653507,21.05156038,Tomst,88158,2,100,100,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,100,100,100,100,0,0,0,0,783,792,792,820,4153,4238,4200,4458,11439,11581,11528,11907,20103,20237,20178,20535,25158,25268,25211,25506,22794,22913,22851,23177,15020,15159,15094,15477,6969,7088,7035,7363,1712,1755,1738,1860,182,182,182,182,0,0,0,0,108313,62972,109213,63341,108809,63157,111284,64160,0.14,5.64,8.97,0.07,0.23,0.31,0.46,1.83,3.8,8.4,1.05,1.57632449784939,3.42367550215061,5,31.5264899569877,68.4735100430123,0,3,0,0,10,0,0,0,0,0,1614,1614,1614,604,0,0,0,2702,2621,2542,1240,2120,604,1240,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
AIL160,AIL,160,68.99725658,21.07225341,Tomst,87899,0,100,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,100,100,100,100,0,0,0,0,914,916,925,930,5099,5105,5155,5169,12863,12863,12926,12929,21431,21417,21455,21432,26252,26227,26239,26199,24013,23996,24024,23993,16468,16467,16528,16524,8199,8215,8288,8307,2186,2192,2220,2232,182,182,182,182,0,0,0,0,117605,66733,117579,66690,117941,66790,117897,66716,0.092,6.08,9.49,0.01,-0.03,0.07,1.24,3.58,10.67,28.53,1.09,0.398937663081241,0.398937663081241,0.797875326162482,19.946883154062,19.946883154062,0,3,0,0,10,0,0,0,0,1,1800,1800,1800,457,0,0,0,3273,3183,3076,932,2641,457,932,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26
AIL161,AIL,161,68.99542938,20.95471123,Haxo,64205,517,5,42,43,212,626,55,94,95,85,76,71,41,41,39,37,32,0,0,0,0,0,520,505,475,454,444,3,16,40,48,0,0,0,0,1185,1146,1141,1135,6773,6542,6510,6468,15223,14882,14838,14773,23281,22970,22923,22872,27576,27346,27288,27197,25652,25410,25344,25223,18580,18259,18267,18205,10216,9919,9895,9848,3002,2887,2871,2848,188,187,186,186,0,0,0,0,131675,71808,129548,71014,129262,70898,128756,70625,0.163,10.35,13.79,-0.02,-0.16,-0.26,-0.39,-1.59,-5.54,-23.28,0.96,0,37.8956007104973,37.8956007104973,0,100,105.343401065746,2,63.313197868508,33.2087985790054,9,0,0,0,0,3,50,50,50,13,108,36,10,54,0,0,478,3083,13,478,145,50,73,86,85,25,50,0,0,0,0,50,0,0,0,3,42,0,1,27
AIL161,AIL,161,68.99543113,20.95472601,Tomst,64225,532,5,39,43,215,630,53,89,96,86,76,71,41,41,39,37,32,0,0,0,0,0,516,520,482,462,448,3,15,39,47,0,0,0,0,1178,1147,1141,1135,6729,6548,6509,6468,15158,14892,14836,14773,23223,22979,22922,22871,27535,27353,27286,27196,25608,25417,25342,25221,18514,18264,18263,18204,10159,9928,9893,9848,2980,2890,2870,2847,188,187,186,186,0,0,0,0,131269,71656,129606,71034,129249,70891,128747,70620,0.156,10.43,13.87,-0.01,-0.16,-0.26,-0.39,-1.59,-5.54,-23.29,0.96,0,37.982154049401,37.982154049401,0,100,105.473231074102,2,63.0535378517969,33.0356919011979,9,0,0,0,0,3,50,50,50,13,108,36,10,54,0,0,478,3083,13,478,145,50,73,86,85,25,50,0,0,0,0,50,0,0,0,3,42,0,1,27
AIL162,AIL,162,68.99792811,20.96404826,Tomst,73001,4,100,100,0,,6,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,100,100,100,100,0,0,0,0,1171,1189,1195,1157,6678,6757,6794,6574,15110,15241,15255,14951,23222,23356,23360,23111,27355,27489,27475,27288,25408,25545,25538,25324,18507,18658,18686,18389,10119,10230,10280,9998,2960,3006,3026,2908,186,187,187,186,0,0,0,0,130718,71271,131659,71693,131797,71699,129886,71001,0.224,8.97,12.35,-0.17,-0.56,-0.62,-0.42,-1.39,-4.98,-17.06,0.97,0.675706049025439,19.9728818529237,20.6485879019491,3.37853024512719,96.6214697548728,55.2700576568219,2,27.9728818529237,8.32429395097456,9,0,0,0,0,0,396,396,396,90,0,0,0,376,331,331,613,2614,90,613,597,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,27
AIL163,AIL,163,68.99463331,20.97661204,Tomst,78469,6,100,100,0,0,6,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,100,100,100,100,0,0,0,0,1190,1187,1146,1128,6754,6738,6493,6385,15216,15193,14852,14692,23390,23364,23100,22959,27615,27594,27425,27315,25624,25596,25388,25257,18652,18624,18312,18156,10217,10193,9898,9763,2994,2987,2864,2808,189,189,188,187,0,0,0,0,131842,71892,131663,71813,129665,71124,128651,70728,0.205,6.89,10.08,0.14,0.26,0.38,0.24,1,3.05,13.09,1.05,0.890807513912645,2,2.89080751391265,29.3966479591173,70.6033520408827,0,3,0,0,10,0,0,0,0,0,1626,1626,1626,450,0,0,0,650,606,560,1224,2490,450,1224,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27
