r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,area,month,resp
0.629473624207543,0.6042104622216937,0.8166436936652575,24.916660256547864,4.490496504791019e-17,6,-111.92102949340345,239.8420589868069,260.27307411961124,58.68780917148466,88,95,MAL,1,T1_mean
0.5900652753341328,0.5670352346225672,0.7124818371356821,25.621547209762632,6.29499579350803e-16,5,-99.49515426984858,212.99030853969717,230.86744678090096,45.17910277409307,89,95,MAL,1,T1_absmax
0.6599075387308256,0.6325437774792828,0.9960958767101113,24.116112279470357,6.3552985023321605e-18,7,-130.2490263335508,278.4980526671016,301.4829446915065,86.32200861710302,87,95,MAL,1,T1_absmin
0.6280706813224144,0.6027118641398518,0.7977694408195095,24.767349234028593,5.2800902868839867e-17,6,-109.69962075822446,235.3992415164489,255.83025664925324,56.00637510208161,88,95,MAL,1,T1_meanmax
0.6299909780416107,0.6047630901808114,0.8359975555619189,24.972006436596367,4.229440640112743e-17,6,-114.14619595341587,244.29239190683174,264.7234070396361,61.50248833568432,88,95,MAL,1,T1_meanmin
0.6057837277302625,0.5882630045182741,0.91988249200908,34.575269547992306,1.81648109890665e-17,4,-124.29758004259406,260.5951600851881,275.91842143479136,76.15654191943516,90,95,MAL,1,T2_mean
0.5635676710534278,0.5441706786558023,0.6823108923051117,29.05438428291695,1.6489804409984661e-15,4,-95.91532988118401,203.83065976236801,219.15392111197127,41.899333838237794,90,95,MAL,1,T2_absmax
0.6403185919880702,0.6201117713132427,1.2993872140611062,31.68824043585153,2.1032708659237928e-18,5,-156.58004992168975,327.1600998433795,345.0372380845833,150.26823475382798,89,95,MAL,1,T2_absmin
0.6222809232441816,0.5965273498290122,0.8549585345036985,24.16289627899343,1.023427721041491e-16,6,-116.2767876477307,248.5535752954614,268.98459042826573,64.32396042342265,88,95,MAL,1,T2_meanmax
0.6054006920217666,0.5878629450005117,0.9881189148651691,34.51986684994676,1.8964686701086614e-17,4,-131.09550586045557,274.19101172091115,289.5142730705144,87.87410909228873,90,95,MAL,1,T2_meanmin
0.5667534464399935,0.5472816912238134,1.201210805012026,29.106438538681378,1.7920665296219745e-15,4,-148.04430164515995,308.0886032903199,323.3483719839399,128.41875842890994,89,94,MAL,1,T3_mean
0.38352929301781685,0.3699804862709558,0.6768706738357072,28.30723769136854,2.7606811130932363e-10,2,-95.16990921401923,198.33981842803846,208.51299755711847,41.692005727991194,91,94,MAL,1,T3_absmax
0.5837390472061049,0.5600878567064518,2.335722199327297,24.681169737086435,1.868412500066426e-15,5,-210.022384454125,434.04476890825,451.84783238414,480.0926409338704,88,94,MAL,1,T3_absmin
0.5794416637860962,0.5555463037739425,0.9977767813823966,24.249128847248226,2.9047365644231247e-15,5,-130.07098243313413,274.14196486626827,291.9450283421583,87.6091484809917,88,94,MAL,1,T3_meanmax
0.5582450881875413,0.5383909348476554,1.4720278208233395,28.11729508838137,4.196587415880933e-15,4,-167.15552322548973,346.31104645097946,361.57081514459946,192.85106556973395,89,94,MAL,1,T3_meanmin
0.4132630260024999,0.35825643469023427,0.7095749930777681,7.51297283004607,6.093135384099608e-4,3,-36.61048533230998,83.22097066461995,91.1385653569005,16.111893465642066,32,36,MAL,1,T4_mean
0.6472503546018371,0.6017342713246547,0.4099264445592007,14.220255962276761,1.0675821715610013e-6,4,-16.286224583754976,44.57244916750995,54.07356279824661,5.20923038841737,31,36,MAL,1,T4_absmax
0.6367914903575644,0.5899258762101534,4.777567590003237,13.587605794615246,1.654468448605701e-6,4,-104.6917515894769,221.3835031789538,230.88461680969044,707.5797143885294,31,36,MAL,1,T4_absmin
0.5188826160711322,0.47377786132780086,0.2854892725945276,11.503944961541952,2.8147872549614504e-5,3,-3.833862864651235,17.667725729302468,25.58532042158302,2.60813199252968,32,36,MAL,1,T4_meanmax
0.5886271366176073,0.5355467671489115,1.3897774136165968,11.08935643269685,1.0616773836443925e-5,4,-60.239385592206474,132.47877118441295,141.9798848151496,59.87591904136395,31,36,MAL,1,T4_meanmin
0.70319701257344,0.6795876840281454,0.8293397961872254,29.78471036244657,1.1111891711052951e-20,7,-114.077522276983,246.155044553966,269.2341782771765,60.52679578350843,88,96,MAL,2,T1_mean
0.6816635575438283,0.6563413405302692,0.7424162883065926,26.919584378367137,2.2464920489903043e-19,7,-103.44841795460918,224.89683590921837,247.9759696324289,48.5040111725785,88,96,MAL,2,T1_absmax
0.7188960129101964,0.6965354684825984,0.9620374355611777,32.150201675005505,1.072884677405163e-21,7,-128.3261692743402,274.6523385486804,297.73147227189094,81.4454104130592,88,96,MAL,2,T1_absmin
0.702711384494874,0.67906342644333,0.8107774706201832,29.71552059434535,1.1920712038782478e-20,7,-111.90443455813586,241.80886911627172,264.8880028394822,57.847689404143054,88,96,MAL,2,T1_meanmax
0.7040386062982046,0.680496222708289,0.8463293136790405,29.905153979386416,9.835229263597298e-21,7,-116.02426648895532,250.04853297791064,273.12766670112114,63.03205103293435,88,96,MAL,2,T1_meanmin
0.6970498826230823,0.6766262792044138,0.9030091656170798,34.129622884565485,4.367890672291174e-21,6,-122.78976450289801,261.579529005796,282.0943145375387,72.57287423377245,89,96,MAL,2,T2_mean
0.6808298341763807,0.6593127443455749,0.7284310392229393,31.641352967799747,4.250598314126619e-20,6,-102.16514910545398,220.33029821090796,240.84508374265064,47.2244483224036,89,96,MAL,2,T2_absmax
0.6914192543200558,0.6706160579820821,1.2494286323662276,33.23620289339634,9.757700513946687e-21,6,-153.96182160428734,323.9236432085747,344.43842874031736,138.93539975651223,89,96,MAL,2,T2_absmin
0.6991707624488505,0.6788901396925933,0.8487261976533386,34.47481721108056,3.214062954667449e-21,6,-116.83814187190997,249.67628374381994,270.19106927556265,64.10991811389536,89,96,MAL,2,T2_meanmax
0.693910667663424,0.6732754317755649,0.962333078489263,33.627464761461404,6.8502206882589e-21,6,-128.89804507493392,273.79609014986784,294.3108756816105,82.42156090196136,89,96,MAL,2,T2_meanmin
0.670480748869943,0.6519684313907264,1.0962717877911372,36.21808828757798,4.562737561653518e-20,5,-140.4321741034447,294.8643482068894,312.7414864480932,106.96125311090309,89,95,MAL,2,T3_mean
0.6469364035274365,0.6228638855861255,0.6614135049233927,26.874480064971557,5.658785039674633e-18,6,-91.89278129586958,199.78556259173916,220.2165777245435,38.49716855556412,88,95,MAL,2,T3_absmax
0.6667469757873729,0.6519357302668116,1.819554513129189,45.016266515991795,1.0381181549760611e-20,4,-189.0971789655972,390.1943579311944,405.51761928079765,297.970076362392,90,95,MAL,2,T3_absmin
0.680024749249359,0.658208254879997,0.9277264122162404,31.17021175521011,8.207113505442885e-20,6,-124.03675860311444,264.07351720622887,284.5045323390332,75.73951404127835,88,95,MAL,2,T3_meanmax
0.6616794487159721,0.6426726761719256,1.2903494774234117,34.81282512233933,1.4464969873466118e-19,5,-155.91697983508948,325.83395967017896,343.71109791138275,148.18515787593157,89,95,MAL,2,T3_meanmin
0.43445961817130907,0.36920495872953707,0.8733575305220075,6.657909517694833,0.0017443258289857664,3,-36.359335404299905,82.71867080859981,89.72465771691058,19.83158777910698,26,30,MAL,2,T4_mean
0.46627730918933685,0.42674229505521355,1.5089598525254488,11.794034209965965,2.083346479349055e-4,2,-53.33036548369842,114.66073096739684,120.26552049404546,61.47791558640785,27,30,MAL,2,T4_absmax
0.5374797616996321,0.5032190033070122,3.7601995866818396,15.687911970314444,3.0148450753245517e-5,2,-80.72190938799316,169.44381877598633,175.04860830263496,381.7557251554215,27,30,MAL,2,T4_absmin
0.37425627290778407,0.32790488571576804,0.6629812228179924,8.074327341216005,0.001783827325521138,2,-28.657489939107993,65.31497987821598,70.91976940486461,11.867690748849496,27,30,MAL,2,T4_meanmax
0.520655125382536,0.4851480976330942,1.994197547313505,14.66343871575456,4.8837023702862224e-5,2,-61.69500038632718,131.39000077265436,136.994790299303,107.37424415820237,27,30,MAL,2,T4_meanmin
0.7259503801046913,0.7041509785221098,0.7775711107157295,33.30139028608729,3.5905803434926317e-22,7,-107.88985596734005,233.7797119346801,256.85884565789064,53.206281235333,88,96,MAL,3,T1_mean
0.7139281979282716,0.6911724863998385,0.6403906455931561,31.373582717298394,2.2804082902420644e-21,7,-89.25657020278643,196.51314040557287,219.5922741287834,36.088815748763295,88,96,MAL,3,T1_absmax
0.7240621250691871,0.705459571703065,0.9480667562318905,38.92272801581114,7.368227289104618e-23,6,-127.46421706527455,270.92843413054914,291.44321966229177,79.99592111021323,89,96,MAL,3,T1_absmin
0.7257808957565627,0.703968012464471,0.7596843208572921,33.27303804993534,3.6875090347671554e-22,7,-105.65573236091248,229.31146472182496,252.3905984450355,50.78658352736366,88,96,MAL,3,T1_meanmax
0.7249098712201998,0.703027701885443,0.794818014248969,33.12787960509836,4.227372570498931e-22,7,-109.99591116317936,237.99182232635872,261.07095604956925,55.59273946817133,88,96,MAL,3,T1_meanmin
0.7254258696854482,0.7069152541586246,0.8141854637828415,39.18972162942038,5.93194752626655e-23,6,-112.84949048545286,241.69898097090572,262.2137665026484,58.99791927973998,89,96,MAL,3,T2_mean
0.734254896280103,0.7163394960293235,0.5794611984226089,40.98456556939902,1.4182091568624592e-23,6,-80.20090050238703,176.40180100477406,196.91658653651675,29.88399996248559,89,96,MAL,3,T2_absmax
0.684736191937005,0.6634824520675896,1.2987800041096704,32.21720958965699,2.484654197511679e-20,6,-157.68076682874056,331.3615336574811,351.8763191892238,150.1278254176853,89,96,MAL,3,T2_absmin
0.7296985909763263,0.711476024075854,0.7650406401441807,40.04367743368857,2.9856648601304177e-23,6,-106.8726048135986,229.7452096271972,250.2599951589399,52.090559115427396,89,96,MAL,3,T2_meanmax
0.718852986968792,0.6998992557532049,0.874768443340506,37.926726869357836,1.6700079009614472e-22,6,-119.73950961673822,255.47901923347644,275.9938047652191,68.10456482232911,89,96,MAL,3,T2_meanmin
0.7157491562880522,0.6963684169440558,0.8940559934286854,36.93095209547666,4.954539416373291e-22,6,-120.52475402769107,257.04950805538215,277.48052318818645,70.3415785059463,88,95,MAL,3,T3_mean
0.7195349146480462,0.7004122951922311,0.5549373004835848,37.6274242297512,2.7748107860524076e-22,6,-75.21799333781091,166.43598667562182,186.86700180842615,27.10007585718475,88,95,MAL,3,T3_absmax
0.6634026663803989,0.6484427848861944,1.8709595921494788,44.34544930301776,1.6191209762050143e-20,4,-191.74385540661538,395.48771081323076,410.810972162834,315.044081591053,90,95,MAL,3,T3_absmin
0.7215466365063999,0.7025611799045636,0.773944724343448,38.00522956274902,2.0324735299749176e-22,6,-106.81929875677442,229.63859751354883,250.06961264635316,52.71115839783689,88,95,MAL,3,T3_meanmax
0.6961147652209307,0.6826087547863054,1.0624759186756403,51.54110968523349,1.70401219692411e-22,4,-137.9881535385589,287.9763070771178,303.299568426721,101.5969569989081,90,95,MAL,3,T3_meanmin
0.4869330787041101,0.35191546783677075,0.5184717295157173,3.6064412307113227,0.018383695386399532,5,-15.62125834898104,45.24251669796208,53.77464747203949,5.107445751833364,19,25,MAL,3,T4_mean
