id_code,area,year,month,T1_absmax,T2_absmax,T3_absmax,T4_absmax,T1_mean,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmin,T3_meanmax,T3_meanmin,T4_mean,T4_absmin,T4_meanmax,T4_meanmin,pisr,moist_med,hydro_year,snow_days,altitude,canopy_cover2m_10m,tpi100,water_prop_500m,wetland_prop_100m
AIL101,AIL,2019,11,-2,-2.5,-2.72700000000002,-1.8,-3.25,-6.75,-2.9,-3.59,-7.47,-17.5,-5.73,-9.28,-11.59,-26.23,-8.07,-15.47,-11.1,-25.6,-7.75,-14.72,176,23.15,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2019,12,-1.87,-2.38,-2.845,0.1,-2.41,-4.12,-2.26,-2.56,-3.75,-8.31,-3.28,-4.27,-5.88,-16.61,-4.68,-7.2,-8.7,-26.7,-5.16,-13.05,0,23.15,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,1,-1.62,-2,-2.61,-1.2,-2.04,-2.68,-1.99,-2.09,-2.92,-4.25,-2.76,-3.08,-4.28,-6.86,-3.93,-4.62,-9.38,-28.9,-5.85,-13.38,0,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,2,-1.75,-2.12,-2.73,NA,-2,-2.56,-1.97,-2.02,-2.54,-3.5,-2.48,-2.6,-3.35,-4.86,-3.26,-3.44,NA,NA,NA,NA,772,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,3,-1.5,-1.62,-1.98,NA,-1.89,-2.25,-1.87,-1.92,-2.31,-3,-2.25,-2.35,-3,-4.05,-2.92,-3.08,NA,NA,NA,NA,3945,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,4,-1,-0.88,-0.86,NA,-1.47,-1.87,-1.45,-1.5,-1.63,-2.38,-1.58,-1.69,-2.06,-3.11,-1.98,-2.15,NA,NA,NA,NA,10889,23.44,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,5,-0.37,0,0.9675,12.88,-0.7,-1.12,-0.68,-0.72,-0.42,-1.25,-0.22,-0.57,-0.34,-1.73,0.09,-0.71,2.16,-12.2,8.02,-3.5,19144,23.42,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,6,9.88,20.506,23.02,22.92,5.59,-0.31,7.22,4.7,9.95,-0.5,16.75,3.43,11.15,-1.61,18.73,2.91,11.51,0,17.96,4.1,23910,23.9,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,7,11.94,17.75,20.77,21.5,8.47,3.75,9.48,7.67,10.37,0.5,15.08,6.07,11.16,-0.73,17.58,5.36,11.61,0.3,17.04,6.48,21697,20.15,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,8,11.75,16.75,19.02,20.5,8.94,3.38,10.03,8.05,9.42,-3.62,15.48,4.17,9.92,-4.23,17.41,3.53,10.77,-3.07,16.89,5.2,14275,19.43,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,9,8.25,11.503,12.02,12.76645,4.78,0.75,5.6,4.08,4.59,-6.75,8.95,0.88,4.97,-7.98,10.05,0.7,5.87,-6.29,10.17,2.16,6561,20.17,2020,228,509.27,61,0.25,0,16
AIL101,AIL,2020,10,5.63,7.56,7.89,8.31735,2.17,-0.37,2.44,1.91,0.75,-8.88,2.47,-1.03,-0.2,-12.17,2.08,-2.66,-0.17,-14.7,2.16,-2.48,1645,19.36,2020,228,509.27,61,0.25,0,16
AIL102,AIL,2019,11,-2.83,-3.01,-2.12,-1.9,-4.46,-8.33,-4.02,-4.89,-7.83,-17.38,-6.18,-9.52,-11.4,-25.12,-7.53,-15.74,-10.87,-23,-7.53,-14.4,177,31.51,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2019,12,-2.58,-2.94,-3.38,0.0449999999999989,-3.02,-4.27,-2.89,-3.15,-4.03,-6.94,-3.65,-4.43,-5.99,-13.06,-4.92,-7.18,-8.69,-24.7,-5.05,-12.9,0,31.51,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,1,-2.02,-2.51,-3.25,-1.6,-2.3,-2.64,-2.25,-2.35,-3.06,-3.82,-2.93,-3.19,-4.4,-6,-4.09,-4.71,-9.6,-28.2,-6.04,-13.76,0,31.79,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,2,-2.2,-2.76,-3.75,-2.2,-2.45,-2.64,-2.42,-2.48,-3.27,-3.76,-3.19,-3.35,-4.64,-5.75,-4.47,-4.82,-10.21,-22.8,-5.21,-15.54,886,31.79,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,3,-1.7,-1.82,-2.12,1.59,-2.19,-2.7,-2.15,-2.22,-2.7,-3.63,-2.62,-2.79,-3.59,-5.25,-3.44,-3.79,-6.91,-26.6,-1.1,-12.98,4895,31.79,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,4,-0.83,-0.63,-0.5,6.505,-1.43,-2.08,-1.41,-1.47,-1.59,-2.76,-1.51,-1.69,-2,-3.94,-1.8,-2.23,-3.07,-22.7,3.88,-9.77,12407,31.79,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,5,-0.33,0.445,3,13.4,-0.54,-1.08,-0.51,-0.56,-0.14,-1.38,0.12,-0.36,0.24,-2.12,1.08,-0.42,2.88,-16.2,9.98,-4.17,20704,31.78,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,6,12.3,25.87,24.12,23.71,6.33,-0.33,8.8,4.3,11.62,-1.88,22.56,2.47,11.2,-2.5,19.35,2.42,11.11,0,18.24,3.61,25267,32.25,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,7,12.92,20.37,19.88,19.945,9.34,4.3,10.85,8.02,11.07,0.12,18.68,5.81,11.01,-0.56,17.81,5.4,11.13,0.3,16.58,6.31,23148,28.51,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,8,13.17,20.195,19.12,18.8064,9.9,4.42,11.35,8.61,10.3,-2.63,18.3,4.38,9.9,-3.94,17.09,3.61,10.3,-2.68,15.88,5.05,15845,27.79,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,9,8.92,11.62,11.753,11.8633,5.38,1.3,6.22,4.63,4.86,-4.88,10.01,1.23,4.86,-7.38,10.05,0.48,5.56,-5.64,9.33,2.2,7847,28.52,2020,230,554.16,94,-1.61,0,0
AIL102,AIL,2020,10,5.67,7.18,7.56,7.998,2.14,-1.2,2.39,1.92,0.38,-8.01,2.08,-1.32,-1.14,-15.62,1.94,-4.05,-0.48,-14.35,1.84,-2.77,2085,27.72,2020,230,554.16,94,-1.61,0,0
AIL103,AIL,2019,11,-1.95,-2.5,-3.18,NA,-2.82,-5.2,-2.63,-3.02,-4.72,-9.5,-4.07,-5.35,-9.57,-21.43,-7.37,-11.71,NA,NA,NA,NA,181,33.37,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2019,12,-1.51,-2,-2.75,NA,-1.85,-2.7,-1.77,-1.93,-2.63,-4.62,-2.44,-2.83,-4.51,-9.62,-3.95,-5.12,NA,NA,NA,NA,0,33.37,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,1,-1.07,-1.44,-2.25,NA,-1.21,-1.57,-1.19,-1.23,-1.67,-2.06,-1.64,-1.71,-2.85,-3.68,-2.75,-2.93,NA,NA,NA,NA,0,33.65,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,2,-1.26,-1.62,-2.68,NA,-1.33,-1.45,-1.32,-1.35,-1.85,-2,-1.83,-1.88,-3.11,-3.5,-3.06,-3.18,NA,NA,NA,NA,893,33.65,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,3,-0.95,-1.06,-1.43,NA,-1.23,-1.45,-1.21,-1.25,-1.56,-2,-1.53,-1.57,-2.42,-3.25,-2.38,-2.48,NA,NA,NA,NA,5235,33.65,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,4,-0.57,-0.56,-0.68,NA,-0.77,-0.89,-0.76,-0.79,-0.88,-1.12,-0.87,-0.9,-1.31,-1.81,-1.28,-1.34,NA,NA,NA,NA,12997,33.65,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,5,-0.26,-0.06,-0.06,NA,-0.45,-0.57,-0.44,-0.46,-0.37,-0.62,-0.35,-0.4,-0.48,-0.81,-0.46,-0.5,NA,NA,NA,NA,21407,33.63,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,6,20.68,21.503,20.693,NA,9.26,-0.26,10.49,8.16,9.24,-0.12,11.75,6.76,8.92,-0.06,11.59,6.18,NA,NA,NA,NA,26066,34.11,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,7,17.18,19.575,18.57,NA,12.42,6.74,14.23,10.71,11.22,0.56,16.46,7.02,10.58,-0.93,15.56,6.01,NA,NA,NA,NA,23869,30.36,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,8,18.3,20.38,19.588,NA,12.76,3.11,14.74,10.97,11.34,-2,17.48,5.78,10.29,-4.75,16.71,3.73,NA,NA,NA,NA,16512,29.65,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,9,10.3,12,11.94,NA,5.68,0.43,7.12,4.43,4.98,-6.25,10.65,0.65,4.88,-8.56,10.51,-0.05,NA,NA,NA,NA,8332,30.38,2020,237,582.92,3,-0.19,0,0
AIL103,AIL,2020,10,6.3,7.25,7.44,NA,2.25,-0.07,2.59,1.95,0.95,-7,2.73,-0.83,-0.88,-15.93,2.11,-3.84,NA,NA,NA,NA,2246,29.58,2020,237,582.92,3,-0.19,0,0
AIL104,AIL,2019,11,-0.38,-1.14,-2.26700000000002,NA,-0.53,-1,-0.47,-0.6,-3.98,-9.77,-3,-4.96,-10.83,-26.4,-7.38,-14.47,NA,NA,NA,NA,181,34.72,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2019,12,-0.38,-1.02,-2.02,NA,-0.43,-0.69,-0.41,-0.46,-1.74,-3.83,-1.47,-2,-4.1,-9.83,-3.37,-4.93,NA,NA,NA,NA,0,34.72,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,1,-0.38,-1.02,-2.15,NA,-0.43,-0.5,-0.41,-0.44,-1.46,-2.02,-1.37,-1.54,-3.32,-4.83,-3.07,-3.56,NA,NA,NA,NA,0,35.01,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,2,-0.44,-1.14,-2.4,NA,-0.51,-0.62,-0.5,-0.52,-1.59,-2.14,-1.52,-1.66,-3.53,-4.96,-3.33,-3.73,NA,NA,NA,NA,936,35.01,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,3,-0.38,-0.77,-1.4,NA,-0.51,-0.62,-0.5,-0.52,-1.25,-1.89,-1.2,-1.32,-2.6,-4.27,-2.48,-2.75,NA,NA,NA,NA,5268,35.01,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,4,-0.31,-0.39,-0.52,NA,-0.44,-0.56,-0.42,-0.45,-0.84,-1.46,-0.79,-0.89,-1.61,-3.02,-1.47,-1.76,NA,NA,NA,NA,13067,35.01,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,5,-0.25,-0.14,0.73,NA,-0.29,-0.38,-0.28,-0.3,-0.31,-0.64,-0.26,-0.37,-0.35,-1.4,0.03,-0.63,NA,NA,NA,NA,21452,34.99,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,6,10.25,23.11,22.8535,NA,4.37,-0.25,5.74,3.35,9.09,-2.58,16.54,0.84,9.81,-2.9,16.7,0.91,NA,NA,NA,NA,26125,35.47,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,7,11.6375,19.685,20.17,NA,8.83,4.75,9.85,7.92,10.49,-1.71,17.65,4.42,10.6,-2.4,17.52,3.89,NA,NA,NA,NA,23998,31.72,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,8,11.75,18.375,19.23,NA,9.44,5.31,10.68,8.62,9.33,-3.89,16.22,2.9,9.29,-7.65,17.03,1.19,NA,NA,NA,NA,16547,31,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,9,8.5,11.23,11.92,NA,5.65,2.44,6.26,5.14,4.27,-5.39,8.98,0.52,4.34,-9.77,10.8,-1.25,NA,NA,NA,NA,8386,31.74,2020,234,595.33,22,-0.15,0,0
AIL104,AIL,2020,10,5.75,6.92,7.17,NA,3.2,1,3.39,3.03,1.2,-4.83,2.6,-0.27,-0.92,-15.77,2.22,-4.05,NA,NA,NA,NA,2263,30.93,2020,234,595.33,22,-0.15,0,0
AIL105,AIL,2019,11,-0.53,-0.82,-1.69,-2.195,-0.78,-1.41,-0.71,-0.86,-2.33,-5.51,-1.81,-2.84,-9.32,-22.88,-6.39,-12.33,-10.86,-23,-7.58,-14.49,181,52.74,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2019,12,-0.41,-0.45,-1.62,-1.2,-0.55,-0.72,-0.53,-0.57,-0.87,-1.7,-0.78,-0.98,-3.16,-7.38,-2.59,-3.84,-8.83,-24.9,-4.93,-13.27,0,52.74,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,1,-0.53,-0.7,-1.62,-1.71,-0.63,-0.84,-0.61,-0.66,-0.93,-1.45,-0.88,-0.98,-2.8,-4.88,-2.54,-3.05,-9.72,-27,-6.15,-13.8,0,53.02,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,2,-0.66,-0.82,-1.94,-2.57,-0.76,-0.84,-0.75,-0.77,-1.08,-1.32,-1.04,-1.11,-3.04,-4.12,-2.86,-3.23,-10.61,-24.4,-5.56,-16.24,965,53.02,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,3,-0.59,-0.64,-1.12,1.335,-0.74,-0.91,-0.72,-0.76,-0.96,-1.39,-0.92,-0.99,-2.34,-4.19,-2.2,-2.5,-7.35,-28.4,-1.63,-13.9,5472,53.02,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,4,-0.41,-0.32,-0.31,5.7,-0.59,-0.78,-0.58,-0.61,-0.66,-1.07,-0.63,-0.68,-1.35,-2.69,-1.28,-1.44,-3.5,-25.9,3.3,-10.42,13377,53.02,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,5,-0.41,-0.26,-0.12,11.99,-0.46,-0.53,-0.44,-0.48,-0.4,-0.51,-0.38,-0.42,-0.51,-1.12,-0.44,-0.6,2.17,-18.5,8.96,-5.29,21747,53,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,6,4.03,17.993,21.75,22.505,1.29,-0.41,1.95,0.6,6.5,-1.2,11.4,1.05,8.24,-1.88,13.69,1.12,10.45,0,16.35,3.12,26375,53.48,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,7,10.66,16.49,18.88,19.245,6.82,0.97,7.43,6.16,9.78,-1.01,14.88,5,10.57,-2.12,17.26,4.27,10.87,0.2,15.55,5.98,24147,49.73,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,8,NA,NA,NA,16.7782375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.14,-3.84,15.31,4.49,16862,49.02,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,9,NA,NA,NA,12.02055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33,-6.03,9.22,1.82,8650,49.75,2020,246,603.03,25,-0.3,2,39
AIL105,AIL,2020,10,NA,NA,NA,7.62705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.66,-15.3,1.58,-3,2363,48.95,2020,246,603.03,25,-0.3,2,39
AIL106,AIL,2019,11,-1.51,-1.89,-2.38,-2.095,-2.61,-4.76,-2.42,-2.82,-4.27,-8.89,-3.61,-5,-7.83,-17.25,-5.93,-9.86,-8.7,-18.4,-6.45,-11.22,173,24.55,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2019,12,-1.51,-2.21,-2.75,-0.8,-2.1,-3.26,-1.97,-2.24,-3.1,-5.96,-2.69,-3.59,-5.09,-13,-3.85,-6.53,-7.41,-17,-4.78,-10.2,0,24.55,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,1,-1.38,-1.64,-2.12,-1.755,-1.68,-2.38,-1.63,-1.73,-2.41,-3.71,-2.27,-2.58,-3.78,-6.38,-3.46,-4.14,-8.57,-20.1,-6.08,-10.98,0,24.84,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,2,-1.82,-2.33,-3.25,NA,-2.3,-3.01,-2.24,-2.36,-3.29,-5.14,-3.13,-3.46,-5.09,-7.38,-4.76,-5.46,NA,NA,NA,NA,900,24.84,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,3,-1.7,-1.96,-2.44,NA,-2.35,-3.26,-2.29,-2.42,-3.17,-5.33,-3.02,-3.35,-4.7,-9,-4.36,-5.1,NA,NA,NA,NA,4828,24.84,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,4,-0.63,-0.46,-0.12,NA,-1.52,-2.32,-1.49,-1.56,-1.82,-3.27,-1.72,-1.94,-2.58,-5,-2.33,-2.81,NA,NA,NA,NA,12184,24.84,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,5,-0.13,3.29,4.91,NA,-0.44,-0.88,-0.4,-0.48,0.05,-1.27,0.67,-0.45,0.13,-2.31,1.1,-0.68,NA,NA,NA,NA,20241,24.82,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,6,12.62,29.17,23.386,NA,7.73,0.12,10.2,5.93,12.27,-0.58,24.42,2.91,10.54,-0.69,18.15,2.95,NA,NA,NA,NA,24592,25.3,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,7,13.43,21.29,20.12,NA,9.4,3.55,10.92,8.14,11.01,-0.83,20.08,5.43,10.61,-1,17.86,5.29,NA,NA,NA,NA,22586,21.55,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,8,13.55,22.36,19.5,NA,9.92,4.37,11.45,8.73,10.36,-3.71,20.4,4.07,9.69,-3.31,17.29,3.96,NA,NA,NA,NA,15505,20.83,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,9,8.87,12.17,11.383,11.73215,5.09,0.8,6.08,4.31,4.68,-6.21,11.63,0.58,4.73,-6.12,10.68,0.89,5.32,-4.06,9.02,2.38,7710,21.57,2020,234,638.48,18,-0.65,4,0
AIL106,AIL,2020,10,5.55,7.04,7.12,7.355,2.19,-0.13,2.44,1.98,0.96,-4.21,2.73,-0.52,-0.73,-12,2.69,-3.2,-0.26,-10.28,1.99,-2.16,2077,20.76,2020,234,638.48,18,-0.65,4,0
AIL107,AIL,2019,11,-1.89,-2.25,-2.61,-2,-3.45,-6.51,-3.18,-3.72,-5.24,-11.69,-4.52,-5.99,-8.48,-19.24,-6.22,-10.91,-8.41,-18.1,-6.42,-10.9,171,18.55,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2019,12,-2.07,-2.62,-2.99,-1.01,-3.01,-5.14,-2.78,-3.23,-4.13,-8,-3.55,-4.73,-6.83,-18.86,-4.93,-8.96,-7.21,-16.5,-4.74,-9.78,0,18.55,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,1,-2.26,-2.69,-3.24,NA,-3,-3.76,-2.85,-3.16,-4.01,-6.38,-3.62,-4.42,-6.26,-14.74,-5.11,-7.57,NA,NA,NA,NA,0,18.84,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,2,-1.89,-2.19,-2.86,NA,-2.17,-3.51,-2.14,-2.21,-2.57,-4.25,-2.52,-2.64,-3.51,-5.8,-3.4,-3.62,NA,NA,NA,NA,905,18.84,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,3,-1.89,-2.19,-2.8,NA,-2.3,-2.51,-2.27,-2.32,-2.79,-3.19,-2.74,-2.83,-3.86,-4.68,-3.78,-3.96,NA,NA,NA,NA,4684,18.84,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,4,-1.26,-1.38,-1.61,NA,-1.79,-2.14,-1.76,-1.81,-2.06,-2.62,-2.03,-2.09,-2.68,-3.68,-2.62,-2.73,NA,NA,NA,NA,11905,18.84,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,5,-0.39,-0.25,-0.24,NA,-1.13,-1.45,-1.1,-1.16,-1.2,-1.69,-1.15,-1.23,-1.5,-2.24,-1.43,-1.56,NA,NA,NA,NA,19959,18.82,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,6,7.74,21.5,23.3235,NA,3.37,-0.32,4.61,2.45,8.22,-1.12,14.52,2.03,9.34,-1.99,16.19,2.11,NA,NA,NA,NA,24354,19.3,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,7,10.61,17.44,19.89,20.6,7.14,1.99,8.32,6.13,9.66,-0.62,15.45,5.21,10.45,-1.61,18.24,4.88,10.79,-1,17.47,4.99,22326,15.55,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,8,10.49,17.015,19.01,19.44,7.74,2.61,9.13,6.83,8.9,-3,14.98,4.06,9.42,-4.11,16.99,3.42,9.81,-1.18,16.89,3.9,15228,14.83,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,9,7.24,10.25,10.8235,11.2224,3.68,0.24,4.39,3.1,3.86,-4.38,7.92,0.94,4.28,-5.61,9.57,0.74,5.08,-3.29,8.57,2.27,7492,15.57,2020,242,659.48,0,4.18,2,0
AIL107,AIL,2020,10,4.74,6.38,6.775,7.11635,1.43,-0.95,1.66,1.22,0.31,-7.75,1.55,-0.99,-0.84,-11.24,1.08,-2.7,-0.51,-9.63,1.35,-2.25,2031,14.76,2020,242,659.48,0,4.18,2,0
AIL108,AIL,2019,11,-3.86,-4.05,-3.62,-2.595,-5.5,-7.73,-5.23,-5.76,-7.73,-14.42,-6.62,-8.96,-9.15,-17.88,-7,-11.69,-8.21,-15.5,-6.45,-10.21,172,31.72,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2019,12,-4.73,-4.24,-2.62,-1.31,-6.39,-10.8,-5.94,-6.83,-7.6,-16.36,-6.05,-9.43,-8.15,-17.81,-5.59,-11.34,-7.44,-15.6,-5.25,-9.77,0,31.72,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,1,-5.04,-4.92,-4.12,-2.7,-6.34,-9.04,-6.13,-6.58,-7.45,-12.55,-6.74,-8.32,-9.31,-16.25,-7.16,-11.83,-8.92,-20,-6.65,-11.15,0,32.01,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,2,-6.11,-5.8,-4.75,-3.235,-7.38,-8.98,-7.16,-7.62,-8.25,-11.92,-7.5,-8.99,-9.55,-17.88,-7.53,-11.55,-8.9,-16.4,-6.39,-11.39,745,32.01,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,3,-5.61,-5.42,-5.06,-1.2,-7,-8.17,-6.84,-7.14,-7.56,-9.55,-7.2,-7.88,-8.25,-11.75,-7.63,-8.94,-7.74,-15.8,-4.7,-10.6,2806,32.01,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,4,-3.92,-3.24,-2.5,1.9,-5.4,-6.98,-5.25,-5.48,-5.51,-7.86,-5.14,-5.74,-5.68,-9.25,-5.1,-6.23,-4.81,-14.8,-0.5,-8.41,8853,32.01,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,5,-0.23,-0.05,2.5,11,-2.78,-4.67,-2.63,-2.88,-2.54,-5.11,-2.12,-2.89,-2.31,-6.75,-1.47,-3.15,1.03,-9.3,5.88,-3.64,17207,31.99,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,6,11.08,21.58,20.88,20.51,6.39,-0.3,7.48,5.1,10.16,-0.92,15.87,2.89,9.79,-0.75,15.32,3.18,9.73,0.1,14.07,4.01,22255,32.47,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,7,11.58,17.26,17.19,17.69,8.43,2.33,9.32,7.38,9.9,-0.8,14.8,5.43,9.81,-0.75,14.6,5.61,9.94,-0.1,13.76,6.3,19893,28.72,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,8,NA,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.34,-0.41,13.28,5.55,12233,28.01,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,9,NA,NA,NA,10.26475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49,-2.73,7.18,2.09,4905,28.74,2020,234,736.48,0,6.18,0,0
AIL108,AIL,2020,10,NA,NA,NA,6.4411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02,-10.75,0.44,-2.54,1398,27.93,2020,234,736.48,0,6.18,0,0
AIL109,AIL,2019,11,-2.74,-2.98,-2.88,-2.5,-4.41,-7.24,-4.09,-4.73,-7.05,-13.79,-5.63,-8.72,-9.25,-18.75,-6.49,-12.72,-8.52,-17.1,-6.49,-11.04,178,25.91,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2019,12,-2.81,-3.35,-3.295,-1.6,-3.68,-5.74,-3.46,-3.91,-4.89,-9.85,-4.12,-5.82,-7.68,-19.88,-5.47,-10.54,-7.59,-17.7,-5.28,-10.15,0,25.91,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,1,-3.06,-3.35,-3.69,-2.555,-3.77,-4.62,-3.62,-3.92,-4.92,-7.16,-4.47,-5.48,-7.96,-15.38,-6.14,-10.03,-9.04,-19.8,-6.71,-11.33,0,26.19,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,2,-3.24,-3.6,-4.44,-2.67,-3.85,-4.49,-3.74,-3.95,-4.79,-6.23,-4.47,-5.08,-7.14,-10.5,-6.21,-8.05,-8.72,-16.5,-5.49,-11.89,1121,26.19,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,3,-2.37,-2.35,-2.5,-0.655000000000001,-3.19,-4.49,-3.08,-3.28,-3.71,-5.6,-3.42,-4.02,-5.04,-9.5,-4.14,-5.97,-7.26,-15.3,-2.6,-10.61,6385,26.19,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,4,-0.87,-0.29,0.06,3.6,-2.16,-3.49,-2.05,-2.24,-2.28,-4.73,-1.97,-2.62,-2.87,-8.12,-1.63,-4.12,-4.19,-15.7,1.74,-8.86,14597,26.19,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,5,3.26,7.52,8.015,11.29,-0.49,-1.62,0.03,-0.87,0.22,-1.98,1.84,-1.03,0.48,-3.88,2.9,-1.52,1.18,-9.6,7.72,-4.14,22676,26.17,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,6,15.57,22.7735,21.25,20.205,9.52,2.38,12.15,6.87,10.71,-0.6,18.52,3.18,9.86,-1.25,16.71,2.59,9.73,0,15.13,3.7,26857,26.65,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,7,13.38,17.855,17.38,17.2,9.53,3.51,11.15,7.89,10.06,-0.6,15.71,5.56,9.79,-1.25,15.11,5.15,9.88,0.2,13.81,6.25,24919,22.9,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,8,14.63,18.7875,17.6375,16.8,10.1,4.01,11.85,8.39,9.71,-2.6,16.57,4.38,9.18,-4.19,15.18,3.81,9.25,-2.64,13.38,5.16,18028,22.19,2020,234,735.62,0,5.22,0,0
AIL109,AIL,2020,9,8.76,11.4,11,10.79985,4.69,0.26,5.85,3.69,4.27,-4.54,9.65,0.96,4.09,-6,9.04,0.48,4.66,-3.54,7.93,1.98,9772,22.92,2020,234,735.62,0,5.22,0,0
